('Real time:', '2022-07-01 08:31:19')
(1668597426.0, 89.9266393442623)
(1668607996.0, 89.85362903225807)
(1668610637.0, 89.98101851851852)
(1668613268.5, 90.09450549450548)
(1668615919.0, 90.01428571428572)
(1668618577.5, 89.96555555555555)
(1668621473.5, 89.98267716535433)
(1668624537.5, 89.97457627118644)
(1668627394.0, 89.98366336633663)
(1668630160.5, 90.03578431372549)
(1668633049.0, 90.02177419354838)
(1668636121.5, 90.01434426229508)
(1668639356.0, 90.09274193548387)
(1668647113.5, 89.96203703703704)
(1668654642.5, 89.85384615384616)
(1668657482.5, 89.9844)
(1668660246.0, 90.096875)
(1668662918.0, 90.07051282051282)
(1668665715.5, 90.13348214285713)
(1668668516.0, 90.02567567567567)
(1668671187.0, 90.07478260869564)
(1668673914.5, 90.09420289855072)
(1668676713.0, 90.07137096774193)
(1668857197.5, 90.05869565217391)
(1669040069.0, 89.52608695652174)
(1669045209.5, 89.2091836734694)
(1669047849.5, 89.08362831858406)
(1669050471.0, 89.14793388429752)
(1669053137.5, 88.98205128205129)
(1669055895.0, 89.02125)
(1669058787.5, 89.0695652173913)
(1669061789.0, 89.10546218487394)
(1669064901.0, 89.4848)
